"Logdate","dive","Speciesrpt","TimeCode","Camera_view"
"2008-07-12 17:41:11","1162","Anemone","17 41 11 10","vertical"
"2008-07-13 01:42:38","1162","Anemone","01 42 38 15","vertical"
"2008-07-13 02:07:24","1162","Anemone","02 07 24 28","vertical"
"2008-07-13 05:49:23","1162","Anemone","05 49 23 25","vertical"
"2008-07-12 16:23:37","1162","Anemone","16 23 37 22","forward"
"2008-07-12 19:43:42","1162","Arrowtooth flounder","19 43 42 01","forward"
"2008-07-12 16:24:35","1162","Basket star","16 24 35 20","vertical"
"2008-07-12 16:25:17","1162","Basket star","16 25 17 17","vertical"
"2008-07-12 19:49:48","1162","Basket star","19 49 48 18","vertical"
"2008-07-12 21:47:16","1162","Basket star","21 47 16 00","vertical"
"2008-07-12 21:50:39","1162","Basket star","21 50 39 20","vertical"
"2008-07-13 00:08:27","1162","Basket star","00 08 27 22","vertical"
"2008-07-13 00:15:08","1162","Basket star","00 15 08 17","vertical"
"2008-07-13 00:17:27","1162","Basket star","00 17 27 20","vertical"
"2008-07-13 01:03:18","1162","Basket star","01 03 18 27","vertical"
"2008-07-13 01:21:23","1162","Basket star","01 21 23 19","vertical"
"2008-07-13 04:07:04","1162","Basket star","04 07 04 17","vertical"
"2008-07-13 04:34:16","1162","Basket star","04 34 16 17","vertical"
"2008-07-13 05:32:31","1162","Basket star","05 32 31 06","vertical"
"2008-07-12 18:18:43","1162","Basket star","18 18 43 26","forward"
"2008-07-12 19:08:18","1162","Basket star","19 08 18 29","forward"
"2008-07-12 19:49:55","1162","Basket star","19 49 55 05","forward"
"2008-07-12 19:53:55","1162","Basket star","19 53 55 11","forward"
"2008-07-12 21:52:37","1162","Basket star","21 52 37 05","forward"
"2008-07-13 00:03:34","1162","Basket star","00 03 34 07","forward"
"2008-07-13 00:08:14","1162","Basket star","00 08 14 27","forward"
"2008-07-13 00:14:34","1162","Basket star","00 14 34 05","forward"
"2008-07-13 00:15:01","1162","Basket star","00 15 01 25","forward"
"2008-07-13 00:20:23","1162","Basket star","00 20 23 09","forward"
"2008-07-13 00:25:01","1162","Basket star","00 25 01 20","forward"
"2008-07-13 00:25:50","1162","Basket star","00 25 50 25","forward"
"2008-07-13 00:26:32","1162","Basket star","00 26 32 07","forward"
"2008-07-13 00:34:37","1162","Basket star","00 34 37 22","forward"
"2008-07-13 00:36:16","1162","Basket star","00 36 16 12","forward"
"2008-07-13 00:36:52","1162","Basket star","00 36 52 04","forward"
"2008-07-13 04:36:09","1162","Boot sponge","04 36 09 14","vertical"
"2008-07-13 05:13:11","1162","Boot sponge","05 13 11 12","vertical"
"2008-07-12 17:52:45","1162","Boot sponge","17 52 45 27","forward"
"2008-07-12 23:59:49","1162","Boot sponge","23 59 49 18","forward"
"2008-07-12 23:59:59","1162","Boot sponge","23 59 59 19","forward"
"2008-07-13 05:12:48","1162","Boot sponge","05 12 48 18","forward"
"2008-07-12 18:04:42","1162","Brittle star","18 04 42 11","vertical"
"2008-07-12 19:49:48","1162","Brittle star","19 49 48 18","vertical"
"2008-07-12 19:56:29","1162","Brittle star","19 56 29 29","vertical"
"2008-07-12 20:02:20","1162","Brittle star","20 02 20 20","vertical"
"2008-07-12 20:49:49","1162","Brittle star","20 49 49 13","vertical"
"2008-07-12 21:50:39","1162","Brittle star","21 50 39 20","vertical"
"2008-07-12 22:06:10","1162","Brittle star","22 06 10 15","vertical"
"2008-07-12 23:31:33","1162","Brittle star","23 31 33 12","vertical"
"2008-07-12 23:48:36","1162","Brittle star","23 48 36 24","vertical"
"2008-07-12 23:55:32","1162","Brittle star","23 55 32 06","vertical"
"2008-07-13 00:02:08","1162","Brittle star","00 02 08 16","vertical"
"2008-07-13 00:06:37","1162","Brittle star","00 06 37 12","vertical"
"2008-07-13 00:36:56","1162","Brittle star","00 36 56 22","vertical"
"2008-07-13 01:01:21","1162","Brittle star","01 01 21 27","vertical"
"2008-07-13 01:20:37","1162","Brittle star","01 20 37 14","vertical"
"2008-07-13 01:30:33","1162","Brittle star","01 30 33 20","vertical"
"2008-07-13 01:33:27","1162","Brittle star","01 33 27 06","vertical"
"2008-07-13 02:32:52","1162","Brittle star","02 32 52 09","vertical"
"2008-07-13 03:54:29","1162","Brittle star","03 54 29 22","vertical"
"2008-07-13 03:55:47","1162","Brittle star","03 55 47 09","vertical"
"2008-07-13 03:59:27","1162","Brittle star","03 59 27 10","vertical"
"2008-07-13 04:23:06","1162","Brittle star","04 23 06 15","vertical"
"2008-07-13 04:35:12","1162","Brittle star","04 35 12 20","vertical"
"2008-07-13 04:59:34","1162","Brittle star","04 59 34 10","vertical"
"2008-07-13 05:00:57","1162","Brittle star","05 00 57 19","vertical"
"2008-07-13 05:09:11","1162","Brittle star","05 09 11 13","vertical"
"2008-07-13 05:11:28","1162","Brittle star","05 11 28 05","vertical"
"2008-07-13 05:31:36","1162","Brittle star","05 31 36 28","vertical"
"2008-07-13 05:44:52","1162","Brittle star","05 44 52 09","vertical"
"2008-07-13 05:58:56","1162","Brittle star","05 58 56 13","vertical"
"2008-07-13 06:05:25","1162","Brittle star","06 05 25 06","vertical"
"2008-07-13 06:20:13","1162","Brittle star","06 20 13 09","vertical"
"2008-07-13 06:22:54","1162","Brittle star","06 22 54 11","vertical"
"2008-07-13 06:33:18","1162","Brittle star","06 33 18 04","vertical"
"2008-07-13 06:38:58","1162","Brittle star","06 38 58 05","vertical"
"2008-07-13 06:41:12","1162","Brittle star","06 41 12 03","vertical"
"2008-07-13 06:48:08","1162","Brittle star","06 48 08 26","vertical"
"2008-07-13 06:53:00","1162","Brittle star","06 53 00 06","vertical"
"2008-07-13 07:11:43","1162","Brittle star","07 11 43 16","vertical"
"2008-07-13 07:21:38","1162","Brittle star","07 21 38 04","vertical"
"2008-07-13 07:24:36","1162","Brittle star","07 24 36 28","vertical"
"2008-07-12 15:54:16","1162","Brittle star","15 54 16 06","forward"
"2008-07-12 21:52:37","1162","Brittle star","21 52 37 05","forward"
"2008-07-12 23:58:59","1162","Brittle star","23 58 59 12","forward"
"2008-07-12 16:30:34","1162","Cable","16 30 34 28","vertical"
"2008-07-12 16:29:54","1162","Cable","16 29 54 03","forward"
"2008-07-12 16:58:54","1162","Cable","16 58 54 00","forward"
"2008-07-12 16:59:39","1162","Cable","16 59 39 03","forward"
"2008-07-12 17:11:42","1162","Cable","17 11 42 19","forward"
"2008-07-12 18:48:56","1162","Cable","18 48 56 13","forward"
"2008-07-12 18:49:48","1162","Cable","18 49 48 25","forward"
